Date,Open,High,Low,Close,Adj Close,Volume
2023-04-17,5075.000000,5075.000000,4960.000000,4990.000000,4736.246094,121231300
2023-04-18,4990.000000,5025.000000,4950.000000,4950.000000,4698.280273,95747700
2023-04-26,5150.000000,5150.000000,4930.000000,5025.000000,4769.466309,273336000
2023-04-27,4990.000000,5150.000000,4990.000000,5150.000000,4888.109863,125947200
2023-04-28,5175.000000,5275.000000,5100.000000,5100.000000,4840.651855,251912000
2023-05-02,5175.000000,5175.000000,5050.000000,5150.000000,4888.109863,84246100
2023-05-03,5225.000000,5225.000000,5050.000000,5100.000000,4840.651855,183524700
2023-05-04,5150.000000,5175.000000,5075.000000,5150.000000,4888.109863,140482000
2023-05-05,5225.000000,5250.000000,5125.000000,5225.000000,4959.295410,182599600
2023-05-08,5250.000000,5250.000000,5050.000000,5100.000000,4840.651855,107804200
2023-05-09,5050.000000,5125.000000,5025.000000,5125.000000,4864.380859,102987300
2023-05-10,5075.000000,5150.000000,5050.000000,5150.000000,4888.109863,108369600
2023-05-11,5175.000000,5175.000000,5100.000000,5150.000000,4888.109863,85618800
2023-05-12,5100.000000,5175.000000,5100.000000,5150.000000,4888.109863,92625800
2023-05-15,5150.000000,5175.000000,5025.000000,5150.000000,4888.109863,163732600
2023-05-16,5175.000000,5200.000000,5100.000000,5200.000000,4935.567383,73611200
2023-05-17,5250.000000,5250.000000,5175.000000,5200.000000,4935.567383,115834500
2023-05-19,5225.000000,5450.000000,5200.000000,5400.000000,5125.396484,185672200
2023-05-22,5300.000000,5500.000000,5300.000000,5425.000000,5149.125000,162655900
2023-05-23,5475.000000,5600.000000,5475.000000,5500.000000,5220.311523,255251600
2023-05-24,5525.000000,5600.000000,5450.000000,5600.000000,5315.226074,187436100
2023-05-25,5500.000000,5575.000000,5450.000000,5475.000000,5196.582520,224391900
2023-05-26,5425.000000,5600.000000,5425.000000,5600.000000,5315.226074,154003100
2023-05-29,5600.000000,5625.000000,5475.000000,5550.000000,5267.768555,125049100
2023-05-30,5500.000000,5600.000000,5500.000000,5500.000000,5220.311523,67363200
2023-05-31,5575.000000,5575.000000,5375.000000,5575.000000,5291.497559,898453700
2023-06-05,5600.000000,5600.000000,5425.000000,5425.000000,5149.125000,255472600
2023-06-06,5400.000000,5500.000000,5350.000000,5450.000000,5172.854004,92019300
2023-06-07,5475.000000,5475.000000,5350.000000,5400.000000,5125.396484,150377000
2023-06-08,5375.000000,5475.000000,5350.000000,5475.000000,5196.582520,92794100
2023-06-09,5425.000000,5450.000000,5375.000000,5425.000000,5149.125000,77251000
2023-06-12,5400.000000,5400.000000,5375.000000,5400.000000,5125.396484,92314200
2023-06-13,5400.000000,5550.000000,5400.000000,5550.000000,5267.768555,108831400
2023-06-14,5575.000000,5575.000000,5475.000000,5550.000000,5267.768555,79137600
2023-06-15,5475.000000,5525.000000,5450.000000,5525.000000,5244.040039,74388400
2023-06-16,5475.000000,5550.000000,5400.000000,5550.000000,5267.768555,189062600
2023-06-19,5500.000000,5525.000000,5450.000000,5525.000000,5244.040039,55144200
2023-06-20,5475.000000,5550.000000,5475.000000,5550.000000,5267.768555,102926800
2023-06-21,5500.000000,5575.000000,5500.000000,5575.000000,5291.497559,84605400
2023-06-22,5550.000000,5600.000000,5475.000000,5475.000000,5196.582520,94143200
2023-06-23,5425.000000,5475.000000,5400.000000,5400.000000,5125.396484,123350300
2023-06-26,5425.000000,5475.000000,5375.000000,5450.000000,5172.854004,85472100
